SUZ12_(05-1317) 	SUZ12 (05-1317) 	Mouse monoclonal recombinant protein corresponding to human SUZ12. Antibody Target: SUZ12 	Bernstein 	http://www.millipore.com/catalogue/item/05-1317&open&cid=BIOS-A-BIOC-2538-1102-RC 	SUZ12 	GeneCard:SUZ12 	HISase 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=SUZ12 	Millipore 	05-1317 	Human_-_SUZ12_(05-1317)(ChIP-String,ChIP-seq):human_SUZ12_validation_Bernstein.pdf
H3K36me3B 	H3K36me3 (9763S) 	Rabbit polyclonal. Antibody Target: H3K36me3 	Farnham 	http://www.cellsignal.com/products/9763.html 	H3K36me3 	GeneCard:HIST2H3C 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=HIST2H3C 	Cell Signaling Technology 	9763S 	Human_-_H3K36me3B(Western_blot,Peptide_ELISA):human_H3K36me3B_validation_Farnham.pdf
SP1 	SP1 (sc-17824) 	Mouse monoclonal. Sp1(E-3) is raised against amino acids 121-345 mapping near the N-terminus of Sp1 ofhuman origin. Recommended for detection of Sp1 of m, r and h origin by WB, IP, IF and ELISA. Antibody Target: SP1 	Myers 	http://www.scbt.com/datasheet-17824-sp1-e-3-antibody.html 	SP1 	GeneCard:SP1 	TFSS 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1 	Santa Cruz Biotechnology 	sc-17824 	Human_-_SP1(Immunoprecipitation-Western_blot,MassSpec):human_SP1_validation_Myers.pdf
hSpt5_(sc-28678) 	hSpt5 (sc-28678) 	Rabbit polyclonal. SPT5 Antibody (H-300) epitope corresponding to amino acids 61-360 mapping near the N-terminus of SPT5 of human origin. Antibody Target: SUPT5H 	Struhl 	http://www.scbt.com/datasheet-28678-spt5-h-300-antibody.html 	SUPT5H 	GeneCard:SUPT5H 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=SUPT5H 	Santa Cruz Biotechnology 	sc-28678 	Human_-_hSpt5_(sc-28678)(Western_blot,Immunoprecipitation):human_hSpt5_sc-28678_validation_Struhl.pdf
GTF2F1_(AB28179) 	GTF2F1 (ab28179) 	Rabbit polyclonal to TFIIF - Recombinant full length protein - RAP 74 subunit of TF11F. Antibody Target: GTF2F1 	Snyder 	http://www.abcam.com/TFIIF-antibody-ChIP-Grade-ab28179.html 	GTF2F1 	GeneCard:GTF2F1 	TFNS 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2F1 	abcam 	ab28179 	Human_-_GTF2F1_(AB28179)(Western_blot,Immunoprecipitation):human_GTF2F1_AB28179_validation_Snyder.pdf
HDAC2_(SC-6296) 	HDAC2 (sc-6296) 	Goat polyclonal IgG, epitope mapping at the C-terminus of HDAC2 of human origin. Antibody Target: HDAC2 	Myers 	http://www.scbt.com/datasheet-6296-hdac2-c-19-antibody.html 	HDAC2 	GeneCard:HDAC2 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC2 	Santa Cruz Biotechnology 	sc-6296 	Human_-_HDAC2_(SC-6296)(Immunoprecipitation-Western_blot,MassSpec):human_HDAC2_SC-6296_validation_Myers.pdf
TRIM37_(SC-49548) 	TRIM37 (sc-49548) 	Goat polyclonal IgG raised against a peptide mapping at the C-terminus of TRIM37 of human origin. Antibody Target: TRIM37 	Myers 	http://www.scbt.com/datasheet-49548-trim37-c-15-antibody.html 	TRIM37 	GeneCard:TRIM37 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM37 	Santa Cruz Biotechnology 	sc-49548 	Human_-_TRIM37_(SC-49548)(ChIP,MassSpec):human_TRIM37_SC-49548_validation_Myers.pdf
TCF12 	TCF12 (sc-357) 	Rabbit polyclonal IgG HEB (A-20) Epitope mapping within the C-terminus of HEB of human origin. Antibody Target: TCF12 	Myers 	http://www.scbt.com/datasheet-357-heb-a-20-antibody.html 	TCF12 	GeneCard:TCF12 	TFSS 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF12 	Santa Cruz Biotechnology 	sc-357 	Human_-_TCF12(Immunoprecipitation-Western_blot,MassSpec):human_TCF12_validation_Myers.pdf Mouse_-_:missing
ZKSCAN1_(HPA006672) 	ZKSCAN1 (HPA006672) 	Rabbit polyclonal, Immunogen: Zinc finger with KRAB and SCAN domain-containing protein 1 recombinant protein epitope signature tag (PrEST). Antibody Target: ZKSCAN1 	Snyder 	http://www.sigmaaldrich.com/catalog/ProductDetail.do?D7=0&N5=SEARCH_CONCAT_PNO%7CBRAND_KEY&N4=HPA006672%7CSIGMA&N25=0&QS=ON&F=SPEC 	ZKSCAN1 	GeneCard:ZKSCAN1 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ZKSCAN1 	Sigma-Aldrich 	HPA006672 	Human_-_ZKSCAN1_(HPA006672)(Immunoprecipitation,IP-Mass_spec):human_ZKSCAN1_HPA006672_validation_Snyder.pdf Mouse_-_ZKSCAN1_(HPA006672)(Immunoprecipitation,IP-Mass_spec):mouse_ZKSCAN1_validation_Snyder.pdf
ATF1_(06-325) 	ATF1 (06-325) 	Sheep polyclonal, immunogen: CPVTLTSQTTKTDDPQL. Antibody Target: ATF1 	Struhl 	http://www.millipore.com/coa/tech1/74jm6a 	ATF1 	GeneCard:ATF1 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF1 	Millipore 	06-325 	Human_-_ATF1_(06-325)(Western_blot,ChIP):human_ATF1_06-325_validation_Struhl.pdf
CTCF 	CTCF (07-729) 	Rabbit polyclonal. Antibody Target: CTCF 	Myers, Hardison 	http://www.millipore.com/catalogue/item/07-729 	CTCF 	GeneCard:CTCF 	TFSS 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=CTCF 	Millipore 	07-729 	Human_-_CTCF_(07-729)(Western_blot,Motif_enrichment):human_CTCF_validation_Myers.pdf Human_-_CTCF_(07-729)(Western_blot):human_CTCF_07-729_validation_Snyder.pdf Mouse_-_CTCF(Western_blot):mouse_CTCF_validation_Hardison.pdf
ELAVL1 	ELAVL1 (sc-5261; 07-1735) 	1) Mouse monocloanal vs HuR, Hel-N1, HuC and HuD of mus, rat, hum and Xenopus origin; 2) Rabbit polyclonal. Raised against synthetic peptide, amino acids 3-19 of HuR. Recommended for detection against ELAV1 in human and mouse origin. Antibody Target: ELAVL1 	Tenenbaum 	http://www.scbt.com/datasheet-5261-hur-3a2-antibody.html ; http://www.millipore.com/catalogue/item/07-1735 	ELAVL1 	GeneCard:ELAVL1 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAVL1 	1) Santa Cruz Biotechnology; 2) Millipore 	sc-5261; 07-1735 	Human_-_ELAVL1_(SC-5261)(Western_blot,Immunoprecipitation):human_ELAVL1_SC-5261_validation_Tenenbaum.pdf Human_-_ELAVL1_(07-1735)(Western_blot,Immunoprecipitation):human_ELAVL1_07-1735_validation_Tenenbaum.pdf
TP53_(SC-126) 	TP53 (sc-126) 	Mouse monoclonal IgG, N-terminal epitope mapping between amino acids 11-25 of TP53 of human origin. Antibody Target: TP53 	Myers 	http://www.scbt.com/datasheet-126-p53-do-1-antibody.html 	TP53 	GeneCard:TP53 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53 	Santa Cruz Biotechnology 	sc-126 	Human_-_TP53_(sc-126)(Western_blot,ChIP)(:human_TP53_sc-126_validation_Myers.pdf
CELF1 	CELF1 (05-621) 	Mouse monoclonal. Raised against full-length GST fusion protein corresponding to human CUG-BP1, also known as heterogeneous nuclear ribonucleoprotein (hnRNP) hNab50. Recommended for detection of CUGBP1 (CELF1) of b, h, m, po, r, rb by WB, IP,IC, EMSA. Antibody Target: CELF1 	Tenenbaum 	http://www.millipore.com/ 	CELF1 	GeneCard:CELF1 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=CELF1 	Millipore 	05-621 	Human_-_CELF1_(05-621)(Western_blot,Immunoprecipitation):human_CELF1_05-621_validation_Tenenbaum.pdf
USF-1 	USF1 (sc-229) 	Rabbit polyclonal, USF-1 (C-20). Antibody Target: USF1 	Myers 	http://www.scbt.com/product.php?datasheet=229 	USF1 	GeneCard:USF1 	TFSS 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=USF1 	Santa Cruz Biotechnology 	sc-229 	Human_-_USF1_SC-229(Immunoprecipitation-Western_blot,MassSpec):human_USF1_SC-229_validation_Myers.pdf Mouse_-_:missing
MafK_(ab50322) 	MAFK (ab50322) 	Rabbit polyclonal. Raised against synthetic peptide: TTNPKPNKALKVKKEA conjugated to KLH by a C-terminal Cysteine residue linker, corresponding to amino acids 2-17 of Human MAFK. Antibody Target: MAFK 	Snyder 	http://www.abcam.com/MAFK-antibody-ab50322.html 	MAFK 	GeneCard:MAFK 	TFSS 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAFK 	abcam 	ab50322 	Human_-_MAFK_(ab50322)(Immunoprecipitation,ChIP):human_MafK_ab50322_validation_Snyder.pdf Mouse_-_MAFK_(ab50322)(Immunoprecipitation,ChIP):mouse_MafK_ab50322_validation_Snyder.pdf
Pol2(phosphoS2) 	POL2 (phospho S2) (ab5095) 	Rabbit polyclonal against peptide conjugated to KLH derived from within residues 1600 - 1700 of S. cerevisiae RNA polymerase II CTD repeat YSPTSPS, phosphorylated at S2. Antibody Target: POLR2A 	Snyder 	http://www.abcam.com/RNA-polymerase-II-CTD-repeat-YSPTSPS-phospho-S2-antibody-ChIP-Grade-ab5095.html 	POLR2A 	GeneCard:POLR2A 	Pol2 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2A 	abcam 	ab5095 	Human_-_POL2S2_(ab5095)(Immunoprecipitation,IP-Mass_Spec):human_PolIIS2_validation_Snyder.pdf Mouse_-_PolIIS2_(ab5095)(Immunoprecipitation,IP-Mass_Spec):mouse_PolIIS2_validation_Snyder.pdf
RFX5_(200-401-194) 	RFX5 (200-401-194) 	Rabbit polyclonal against RFX5 peptide corresponding to a region at amino acids 320 to 494 of the human protein conjugated to Keyhole Limpet Hemocyanin. Antibody Target: RFX5 	Snyder 	http://rockland-inc.com/store/Transcription-Factor-Antibodies-200-401-194-O4L_9248.aspx 	RFX5 	GeneCard:RFX5 	TFSS 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=RFX5 	Rockland Immunochemicals 	200-401-194 	Human_-_RFX5_(200-401-194)(Western_blot,Immunoprecipitation):human_RFX5_validation_Snyder.pdf
SIRT6 	SIRT6 (ab48192) 	Rabbit polyclonal. Antibody Target: SIRT6 	Struhl 	http://www.abcam.com/SIRT6-antibody-ab48192.html 	SIRT6 	GeneCard:SIRT6 	HISase 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT6 	abcam 	ab48192 	Human_-_SIRT6(ab48192):human_SIRT6_ab48192_validation_Struhl.pdf
H3K4me2 	H3K4me2 (ab7766) 	Rabbit polyclonal. Antibody Target: H3K4me2 	Bernstein 	http://www.abcam.com/index.html?datasheet=7766 	H3K4me2 	GeneCard:HIST2H3C 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=HIST2H3C 	abcam 	ab7766 	Human_-_H3K4me2(Dot_blot):human_H3K4me2_validation_Bernstein.pdf
RUNX3_(SC-101553) 	RUNX3 (sc-101553) 	Mouse monoclonal IgG, raised against amino acids 191-300 of recombinant RUNX3 of human origin. Antibody Target: RUNX3 	Myers 	http://www.scbt.com/datasheet-101553-runx3-r3-5g4-antibody.html 	RUNX3 	GeneCard:RUNX3 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=RUNX3 	Santa Cruz Biotechnology 	sc-101553 	Human_-_RUNX3_(SC-101553)(Western_blot,IP-Mass_Spec):human_RUNX3_SC-101553_validation_Myers.pdf
eGFP-ESR 	ESR (eGFP-ESR) 	Goat polyclonal raised against e-GFP tagged transcription factor ESRA. Antibody Target: eGFP-ESR 	White 	http://www.genes.uchicago.edu/white.html 	eGFP-ESR 	GeneCard:ESR 	TFSS 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1 	Dr. Kevin White at University of Chicago 	eGFP-ESR 	Human_-_eGFP(Western_blot,Immunoprecipitation):human_validation_White.pdf
GTF2B 	GTF2B (sc-225) 	Rabbit polyclonal. Raised against an epitope mapping to C-terminus of human TFIIB. Recommended for detection of TFIIB p33 of mouse, rabbit and human origin. Antibody Target: GTF2B 	Struhl 	http://www.scbt.com/datasheet-225-tfiib-c-18-antibody.html 	GTF2B 	GeneCard:GTF2B 	TFNS 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2B 	Santa Cruz Biotechnology 	sc-225 	Human_-_TFIIB_(SC-225)(Western_blot,ChIP-Seq):human_TFIIB_sc-225X_validation_Struhl.pdf
H3K9me3_(9754) 	H3K9me3 (9754) 	Rabbit polyclonal antibody was produced by immunizing animals with a synthetic peptide corresponding to the amino terminus of histone H3 in which Lys9 is tri-methylated. Antibody was purified by protein A and peptide affinity chromatography. Tri-Methyl-Histone H3 (Lys9) Antibody detects endogenous levels of histone H3 only when tri-methylated on Lys9. The antibody does not cross-react with non-methylated, mono-methylated, or di-methylated Lys9. In addition, the antibody does not cross-react with non-methylated, mono-methylated, di-methylated or tri-methylated histone H3 Lys4, Lys27, Lys36 or histone H4 Lys20. Antibody Target: H3K9me3 	Farnham 	http://www.cellsignal.com/products/9754.html 	H3K9me3 	GeneCard:HIST2H3C 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=HIST2H3C 	Cell Signaling Technology 	9754 	Human_-_H3K9me3_(9754)(Western_blot,PeptideELISA):human_H3K9me3_9754_validation_Farnham.pdf
MBD4_(SC-271530) 	MBD4 (sc-271530) 	Mouse monoclonal IgG, specific for an epitope mapping between a.a. 515-555 within an internal region of MBD4 of mouse origin. Antibody Target: MBD4 	Myers 	http://www.scbt.com/datasheet-271530-mbd4-d-6-antibody.html 	MBD4 	GeneCard:MBD4 	unclassified 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=MBD4 	Santa Cruz Biotechnology 	sc-271530 	Human_-_MBD4_(SC-271530)(Western_blot,IP-MassSpec):human_MBD4_SC-271530_sc-271530_validation_Myers.pdf
NF-E2 	NF-E2 (sc-291) 	Rabbit polyclonal, epitope mapping at the C-terminus of NFE2 of mouse origin and recommended for detection of protein of rat, mouse and human origin. Antibody Target: NFE2 	Snyder 	http://www.scbt.com/product.php?datasheet=291 	NFE2 	GeneCard:NFE2 	TFSS 	http://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2 	Santa Cruz Biotechnology 	sc-291 	Human_-_:missing
